phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,104736,109955,"1",0,109955,0,"2","0","","","",
1,109956,109990,"2",1,109990,0,"0","0","","","",
2,110840,114069,"3",2,114069,0,"0","0","","","",
3,114070,114818,"4",3,114818,0,"0","0","","","",
4,131899,136679,"1",4,136679,0,"1","0","","","",
5,136680,137495,"2",5,137495,0,"0","0","","","",
6,137496,140045,"3",6,140045,0,"0","0","","","",
7,140046,140658,"4",7,140658,0,"0","0","","","",
8,154120,159697,"1",8,159697,0,"1","0","","","",
9,159698,160581,"2",9,160581,0,"0","0","","","",
10,160582,163267,"3",10,163267,0,"0","0","","","",
11,163268,163948,"4",11,163948,0,"0","0","","","",
12,179593,184313,"1",12,184313,0,"1","0","","","",
13,184314,185061,"2",13,185061,0,"0","0","","","",
14,185062,187645,"3",14,187645,0,"0","0","","","",
15,187646,188258,"4",15,188258,0,"0","0","","","",
16,204872,210051,"1",,,,,,,,,
17,210052,210799,"2",,,,,,,,,
18,210800,213383,"3",,,,,,,,,
19,213384,213894,"4",,,,,,,,,
20,226994,232899,"1",,,,,,,,,
21,232900,233613,"2",,,,,,,,,
22,233614,236401,"3",,,,,,,,,
23,236402,237082,"4",,,,,,,,,
24,251555,256663,"1",,,,,,,,,
25,256664,257345,"2",,,,,,,,,
26,257346,260507,"3",,,,,,,,,
27,260508,261154,"4",,,,,,,,,
28,277144,282403,"1",,,,,,,,,
29,282404,283151,"2",,,,,,,,,
30,283152,286075,"3",,,,,,,,,
31,286076,287776,"4",,,,,,,,,
32,306252,311235,"1",,,,,,,,,
33,311236,312119,"2",,,,,,,,,
34,312120,314736,"3",,,,,,,,,
35,314737,315282,"4",,,,,,,,,
36,330897,336191,"1",,,,,,,,,
37,336192,336973,"2",,,,,,,,,
38,336974,339624,"3",,,,,,,,,
39,339625,340238,"4",,,,,,,,,
40,355022,360637,"1",,,,,,,,,
41,360638,361520,"2",,,,,,,,,
42,361521,364071,"3",,,,,,,,,
43,364072,365160,"4",,,,,,,,,
44,379880,385151,"1",,,,,,,,,
45,385152,385899,"2",,,,,,,,,
46,385900,388176,"3",,,,,,,,,
47,388177,388722,"4",,,,,,,,,
