phase.ordinal,phase.onset,phase.offset,phase.1_2_3_4,reference.ordinal,reference.onset,reference.offset,reference.num_looks,reference.num_ques,reference.num_SOU,reference.exclude?,reference.reason_exclude,
0,117508,121957,"1",0,121957,0,"2","","","","",
1,121958,122773,"2",1,122773,0,"0","","","","",
2,122774,125663,"3",2,125663,0,"1","","","","",
3,125664,127908,"4",3,127908,0,"1","","","","",
4,137906,142595,"1",4,142595,0,"2","","","","",
5,142596,143445,"2",5,143445,0,"0","","","","",
6,143446,146573,"3",6,143446,0,"1","","","","",
7,146574,148172,"4",7,147152,0,"2","","","","",
8,160085,164423,"1",8,164423,0,"3","","","","",
9,164424,165477,"2",9,165477,0,"0","","","","",
10,165478,167314,"3",10,167314,0,"0","","","","",
11,167314,168504,"4",11,168504,0,"0","","","","",
12,179414,184177,"1",12,184177,0,"3","","","","",
13,184178,185027,"2",13,185027,0,"0","","","","",
14,185028,187883,"3",14,187883,0,"1","","","","",
15,187884,188700,"4",15,188700,0,"1","","","","",
16,198332,203557,"11",,,,,,,,,
17,203558,204373,"2",,,,,,,,,
18,204374,206583,"3",,,,,,,,,
19,206584,207978,"4",,,,,,,,,
20,219287,224467,"1",,,,,,,,,
21,224468,225487,"2",,,,,,,,,
22,225488,228445,"3",,,,,,,,,
23,228446,230384,"4",,,,,,,,,
24,241976,247281,"1",,,,,,,,,
25,247282,248131,"2",,,,,,,,,
26,248132,250579,"3",,,,,,,,,
27,250580,251838,"4",,,,,,,,,
28,263465,268565,"1",,,,,,,,,
29,268566,269313,"2",,,,,,,,,
30,269313,272883,"3",,,,,,,,,
31,272884,273904,"4",,,,,,,,,
32,285872,290563,"1",,,,,,,,,
33,290564,291515,"2",,,,,,,,,
34,291516,293656,"3",,,,,,,,,
35,293657,294576,"4",,,,,,,,,
36,306875,311813,"1",,,,,,,,,
37,311814,312799,"2",,,,,,,,,
38,312800,316981,"3",,,,,,,,,
39,316982,319022,"4",,,,,,,,,
40,331633,336463,"1",,,,,,,,,
41,336464,337381,"2",,,,,,,,,
42,337382,339999,"3",,,,,,,,,
43,340000,341122,"4",,,,,,,,,
44,353321,357951,"1",,,,,,,,,
45,357952,358869,"2",,,,,,,,,
46,358870,361181,"3",,,,,,,,,
47,361182,362406,"4",,,,,,,,,
